symbol,datetime,expiry,CE,PE,spot_close,ATM,strike,oi_CE,oi_PE,volume_CE,volume_PE
NIFTY,2026-02-24 09:23:00,2026-03-02,2509.45,3.35,25555.55,25550.0,23100,65,1388595,65,72605
NIFTY,2026-02-24 14:51:00,2026-03-02,2361.8,3.2,25416.85,25400.0,23100,130,2533115,65,9945
NIFTY,2026-02-24 14:51:00,2026-03-02,2311.75,3.45,25416.85,25400.0,23150,130,52715,65,65
NIFTY,2026-02-24 14:59:00,2026-03-02,2271.7,3.25,25424.85,25400.0,23200,65,711815,65,5200
NIFTY,2026-02-24 14:59:00,2026-03-02,2221.0,3.5,25424.85,25400.0,23250,130,113425,65,520
NIFTY,2026-02-24 14:45:00,2026-03-02,2127.3,3.55,25367.35,25350.0,23300,390,181935,65,1170
NIFTY,2026-02-24 14:45:00,2026-03-02,2024.7,3.75,25367.35,25350.0,23400,585,190645,130,5330
NIFTY,2026-02-24 14:59:00,2026-03-02,2022.05,3.95,25424.85,25400.0,23450,130,37245,65,390
NIFTY,2026-02-24 09:51:00,2026-03-02,2050.0,4.45,25502.55,25500.0,23500,1950,951990,65,8775
NIFTY,2026-02-24 10:16:00,2026-03-02,2025.0,3.95,25492.95,25500.0,23500,2080,996060,195,975
NIFTY,2026-02-24 10:48:00,2026-03-02,2025.0,3.8,25474.95,25450.0,23500,2145,990795,130,585
NIFTY,2026-02-24 10:53:00,2026-03-02,2000.0,3.9,25464.0,25450.0,23500,2210,987935,195,3510
NIFTY,2026-02-24 11:07:00,2026-03-02,2023.0,4.0,25490.5,25500.0,23500,2405,976625,65,9230
NIFTY,2026-02-24 11:52:00,2026-03-02,2025.0,3.85,25495.1,25500.0,23500,2405,988520,65,845
NIFTY,2026-02-24 12:46:00,2026-03-02,1950.0,3.85,25402.75,25400.0,23500,2405,1022580,65,10335
NIFTY,2026-02-24 13:31:00,2026-03-02,1900.0,4.25,25351.8,25350.0,23500,2470,1066975,260,5070
NIFTY,2026-02-24 13:53:00,2026-03-02,1920.0,4.7,25370.05,25350.0,23500,2730,1065285,65,5135
NIFTY,2026-02-24 14:02:00,2026-03-02,1950.0,4.5,25403.75,25400.0,23500,2730,1070680,65,390
NIFTY,2026-02-24 15:05:00,2026-03-02,1945.0,4.0,25415.3,25400.0,23500,2730,1244230,130,2080
NIFTY,2026-02-24 15:06:00,2026-03-02,1954.15,3.95,25419.15,25400.0,23500,2860,1250860,195,28470
NIFTY,2026-02-24 15:07:00,2026-03-02,1945.0,4.05,25406.8,25400.0,23500,2860,1250860,910,5005
NIFTY,2026-02-24 15:08:00,2026-03-02,1950.0,3.95,25412.1,25400.0,23500,2860,1250860,325,14950
NIFTY,2026-02-24 15:10:00,2026-03-02,1967.35,3.85,25414.3,25400.0,23500,3380,1272050,65,87815
NIFTY,2026-02-24 15:11:00,2026-03-02,1955.0,3.85,25420.4,25400.0,23500,3380,1272050,130,26585
